id,cInstr
values_242,394
values_505,35
values_924,576
values_862,182
values_287,693
values_733,220
values_813,180
values_11,289
values_19,581
values_999,595
values_134,608
values_609,283
values_993,587
values_731,115
values_127,721
values_889,661
values_987,78
values_780,155
values_435,358
values_950,756
values_976,28
values_557,564
values_398,248
values_892,22
values_670,46
values_574,70
values_163,186
values_900,99
values_392,704
values_447,70
values_523,81
values_679,317
values_419,109
values_895,33
values_298,546
values_155,255
values_12,547
values_160,50
values_626,465
values_38,288
values_146,198
values_81,129
values_687,33
values_213,141
values_212,341
values_568,187
values_5,14
values_40,351
values_970,461
values_707,255
values_406,64
values_893,44
values_144,354
values_979,489
values_831,94
values_402,723
values_404,383
values_310,390
values_70,261
values_268,14
values_412,458
values_290,658
values_916,379
values_567,143
values_913,128
values_232,497
values_319,256
values_23,450
values_899,100
values_428,401
values_858,465
values_546,64
values_432,19
values_231,180
values_388,390
values_350,193
values_603,61
values_364,200
values_530,140
values_72,84
values_536,348
values_79,22
values_342,47
values_803,424
values_501,38
values_540,649
values_955,36
values_191,60
values_812,353
values_545,361
values_78,19
values_526,164
values_695,172
values_87,288
values_300,253
values_964,201
values_998,200
values_988,135
values_6,43
values_625,403
values_518,697
values_122,223
values_541,376
values_279,258
values_256,73
values_796,446
values_504,129
values_752,600
values_459,46
values_658,172
values_408,389
values_867,458
values_727,492
values_177,404
values_823,314
values_822,569
values_218,258
values_426,75
values_776,185
values_143,152
values_739,726
values_312,236
values_174,299
values_669,134
values_120,95
values_974,387
values_217,50
values_866,354
values_192,509
values_328,339
values_68,131
values_387,155
values_69,400
values_749,456
values_135,273
values_341,42
values_494,508
values_1,33
values_589,735
values_925,621
values_524,41
values_994,645
values_856,738
values_156,49
values_470,182
values_207,362
values_655,562
values_441,140
values_109,307
values_45,43
values_125,593
values_600,57
values_708,685
values_791,424
values_912,218
values_533,599
values_418,505
values_228,100
values_585,180
values_465,392
values_239,55
values_842,58
values_208,283
values_932,290
values_957,540
values_563,907
values_766,452
values_476,144
values_175,172
values_591,386
values_997,75
values_385,361
values_115,323
values_653,133
values_753,68
values_241,342
values_197,368
values_636,368
values_450,512
values_106,248
values_699,239
values_578,25
values_644,402
values_570,27
values_873,513
values_33,53
values_210,437
values_486,105
values_252,14
values_694,370
values_759,68
values_245,327
values_15,157
values_792,108
values_248,19
values_246,700
values_556,63
values_513,481
values_93,660
values_558,19
values_991,36
values_181,423
values_674,44
values_652,25
values_344,354
values_715,811
values_528,534
values_276,372
values_24,67
values_296,436
values_244,36
values_380,651
values_25,97
values_740,44
values_478,553
values_379,532
values_810,614
values_440,52
values_543,30
values_130,174
values_225,35
values_285,123
values_363,391
values_667,71
values_26,291
values_793,36
values_772,123
values_931,546
values_981,374
values_422,118
values_920,177
values_259,376
values_477,174
values_738,387
values_430,601
values_922,564
values_903,489
values_761,266
values_204,85
values_48,247
values_71,451
values_851,133
values_347,765
values_725,149
values_266,137
values_448,745
values_934,163
values_531,684
values_224,103
values_686,396
values_927,769
values_407,583
values_76,252
values_949,189
values_969,279
values_781,89
values_7,17
values_683,213
values_376,141
values_877,346
values_654,139
values_508,196
values_332,154
values_281,14
values_381,350
values_769,82
values_701,218
values_855,298
values_320,207
values_50,552
values_918,72
values_615,210
values_704,14
values_633,126
values_847,99
values_602,108
values_399,103
values_22,602
values_313,43
values_375,677
values_963,19
values_168,98
values_226,775
values_190,33
values_429,123
values_236,634
values_777,228
values_909,192
values_438,49
values_607,580
values_717,288
values_782,491
values_258,652
values_872,50
values_637,110
values_746,526
values_4,601
values_345,63
values_102,41
values_962,443
values_356,119
values_853,172
values_849,605
values_814,25
values_370,86
values_778,219
values_458,496
values_818,117
values_119,772
values_373,646
values_351,671
values_32,108
values_770,236
values_371,214
values_283,411
values_535,254
values_250,514
values_132,465
values_649,22
values_77,35
values_260,360
values_891,210
values_91,429
values_137,17
values_42,148
values_13,126
values_577,258
values_41,485
values_809,14
values_414,203
values_360,305
values_386,36
values_158,70
values_904,801
values_480,391
values_647,36
values_104,344
values_55,284
values_491,235
values_391,324
values_972,119
values_571,331
values_940,391
values_861,637
values_324,681
values_549,602
values_170,786
values_269,63
values_442,17
values_520,81
values_455,288
values_31,372
values_971,256
values_397,190
values_254,379
values_616,531
values_66,565
values_943,635
values_117,22
values_451,519
values_643,84
values_688,205
values_569,525
values_745,204
values_65,278
values_980,139
values_982,240
values_62,533
values_789,58
values_401,765
values_21,341
values_598,146
values_273,69
values_534,66
values_118,497
values_141,439
values_366,605
values_222,244
values_876,393
values_700,521
values_95,355
values_806,14
values_671,112
values_816,52
values_630,172
values_433,33
values_905,63
values_84,171
values_233,373
values_664,263
values_162,184
values_681,174
values_542,36
values_169,42
values_660,361
values_488,805
values_894,172
values_828,95
values_537,72
values_845,147
values_584,97
values_457,654
values_499,17
values_369,216
values_58,84
values_64,354
values_196,200
values_462,343
values_343,647
values_262,38
values_966,579
values_261,537
values_349,537
values_263,369
values_801,121
values_292,111
values_786,212
values_101,36
values_691,186
values_926,89
values_754,111
values_215,179
values_977,255
values_850,517
values_646,226
values_628,554
values_941,212
values_353,197
values_690,58
values_961,69
values_331,365
values_377,393
values_128,327
values_336,771
values_632,672
values_166,510
values_744,267
values_837,78
values_807,643
values_838,71
values_723,190
values_874,530
values_627,705
values_555,327
values_446,287
values_716,27
values_240,409
values_140,86
values_317,14
values_83,366
values_696,17
values_413,209
values_94,578
values_937,138
values_199,187
values_596,792
values_0,702
values_953,693
values_906,499
values_742,24
values_396,520
values_159,563
values_238,33
values_136,175
values_915,687
values_99,552
values_771,560
values_96,183
values_768,202
values_67,70
values_565,25
values_848,14
values_114,263
values_61,321
values_511,377
values_729,382
values_460,636
values_832,152
values_348,14
values_182,14
values_986,50
values_180,421
values_930,311
values_274,738
values_309,230
values_496,677
values_165,371
values_553,30
values_870,121
values_795,33
values_361,147
values_302,564
values_586,198
values_880,137
values_665,50
values_527,386
values_372,539
values_382,329
values_43,525
values_935,17
values_2,418
values_790,129
values_152,294
values_871,39
values_434,273
values_775,110
values_500,462
values_220,621
values_875,361
values_249,299
values_808,196
values_859,565
values_539,52
values_635,162
values_311,83
values_183,636
values_54,359
values_390,143
values_890,149
values_711,167
values_471,79
values_995,124
values_443,528
values_464,492
values_774,65
values_200,136
values_747,628
values_758,39
values_30,103
values_820,60
values_393,292
values_576,36
values_445,735
values_662,402
values_403,291
values_640,595
values_59,427
values_490,220
values_194,462
values_751,416
values_663,283
values_938,151
values_532,564
values_885,195
values_713,339
values_193,410
values_650,91
values_564,333
values_267,654
values_147,169
values_709,242
values_857,685
values_334,79
values_965,693
values_824,438
values_784,90
values_229,226
values_538,19
values_463,232
values_741,499
values_85,149
values_493,454
values_794,215
values_202,265
values_74,160
values_410,656
values_469,114
values_394,419
values_149,210
values_945,94
values_293,594
values_456,286
values_975,238
values_547,137
values_164,470
values_720,14
values_833,546
values_90,39
values_954,165
values_483,25
values_990,494
values_113,17
values_878,142
values_942,632
values_126,111
values_666,500
values_960,142
values_783,366
values_735,38
values_439,294
values_860,522
values_18,39
values_173,777
values_454,75
values_176,576
values_698,557
values_869,411
values_697,260
values_509,645
values_189,188
values_714,309
values_270,326
values_863,210
values_548,166
values_359,548
values_512,17
values_656,165
values_684,169
values_171,150
values_675,99
values_657,86
values_333,511
values_599,723
values_129,561
values_886,210
values_107,38
values_272,130
values_52,44
values_819,515
values_682,14
values_44,214
values_914,442
values_346,708
values_151,442
values_550,91
values_326,595
values_836,155
values_437,321
values_984,374
values_17,30
values_748,117
values_581,720
values_705,273
values_121,607
values_219,28
values_321,416
values_843,215
values_606,14
values_898,524
values_601,270
values_36,55
values_282,228
values_395,36
values_449,336
values_209,324
values_956,378
values_579,159
values_484,412
values_521,68
values_617,598
values_516,507
values_358,69
values_335,368
values_139,39
values_992,227
values_211,60
values_507,686
values_921,14
values_138,33
values_275,147
values_614,170
values_49,238
values_227,372
values_203,488
values_172,635
values_86,57
values_178,165
values_978,605
values_253,171
values_291,351
values_911,178
values_230,92
values_318,210
values_798,178
values_638,41
values_112,302
values_201,672
values_629,14
values_337,250
values_37,22
values_56,503
values_316,152
values_829,515
values_63,141
values_35,209
values_519,27
values_481,336
values_278,25
values_186,19
values_702,17
values_722,353
values_97,126
values_329,570
values_75,353
values_560,698
values_612,182
values_421,147
values_639,78
values_939,502
values_198,247
values_840,74
values_415,597
values_405,124
values_100,77
values_726,249
values_265,371
values_743,693
values_436,707
values_583,483
values_525,463
values_677,92
values_289,291
values_255,378
values_529,322
values_826,137
values_362,369
values_355,436
values_506,541
values_315,499
values_604,291
values_57,268
values_133,384
values_787,497
values_799,268
values_765,77
values_887,587
values_952,149
values_631,49
values_306,542
values_497,22
values_821,19
values_618,44
values_271,47
values_645,148
values_985,518
values_400,345
values_562,17
values_590,227
values_648,104
values_325,151
values_883,625
values_827,473
values_854,277
values_307,244
values_88,120
values_958,416
values_251,77
values_902,80
values_680,27
values_884,783
values_901,213
values_354,440
values_420,84
values_103,434
values_10,14
values_474,17
values_53,22
values_8,474
values_39,187
values_755,293
values_124,247
values_841,69
values_510,17
values_989,554
values_706,22
values_257,297
values_811,214
values_111,50
values_47,496
values_928,155
values_561,19
values_383,141
values_498,466
values_60,102
values_737,47
values_624,436
values_973,434
values_472,192
values_280,684
values_389,167
values_651,14
values_642,458
values_668,180
values_551,293
values_750,64
values_592,36
values_89,151
values_411,281
values_620,84
values_357,437
values_247,530
values_692,676
values_572,666
values_757,195
values_566,174
values_216,359
values_951,640
values_910,42
values_338,584
values_461,25
values_730,652
values_734,434
values_51,142
values_678,72
values_327,53
values_473,214
values_453,305
values_154,230
values_452,14
values_221,302
values_323,14
values_844,201
values_673,472
values_427,108
values_933,643
values_802,115
values_852,309
values_487,153
values_762,193
values_515,25
values_479,44
values_948,611
values_467,696
values_14,87
values_868,57
values_188,235
values_489,22
values_865,587
values_728,139
values_996,47
values_277,432
values_936,250
values_554,249
values_763,580
values_834,151
values_613,573
values_907,665
values_825,382
values_308,495
values_294,33
values_522,255
values_322,465
values_28,220
values_760,502
values_559,64
values_685,102
values_908,58
values_919,553
values_724,85
values_947,275
values_214,75
values_468,41
values_967,428
values_234,159
values_983,306
values_719,405
values_110,345
values_235,33
values_588,326
values_185,192
values_732,532
values_896,243
values_888,575
values_923,14
values_767,756
values_179,344
values_195,497
values_148,499
values_917,411
values_634,30
values_157,197
values_314,288
values_879,78
values_16,25
values_839,387
values_150,780
values_835,622
values_161,463
values_34,22
values_959,64
values_264,315
values_123,553
values_623,230
values_187,205
values_575,42
values_466,654
values_621,41
values_82,699
values_352,333
values_779,106
values_946,114
values_756,441
values_502,472
values_641,58
values_882,52
values_46,234
values_721,117
values_105,272
values_284,177
values_295,86
values_423,496
values_544,73
values_384,71
values_206,121
values_817,816
values_788,216
values_205,611
values_243,557
values_619,418
values_514,177
values_703,522
values_605,483
values_659,93
values_929,184
values_365,412
values_495,392
values_431,129
values_482,184
values_611,294
values_846,494
values_27,99
values_736,192
values_815,649
values_145,281
values_582,22
values_492,50
values_881,625
values_237,17
values_409,724
values_108,17
values_299,44
values_20,44
values_485,622
values_303,129
values_425,95
values_597,49
values_517,182
values_672,510
values_340,287
values_339,100
values_424,198
values_9,440
values_587,87
values_417,108
values_116,494
values_475,83
values_184,663
values_223,479
values_804,22
values_374,317
values_864,127
values_444,383
values_92,62
values_773,260
values_131,437
values_710,246
values_693,439
values_944,458
values_573,22
values_712,305
values_718,45
values_3,137
values_805,30
values_98,337
values_304,215
values_897,25
values_153,360
values_368,496
values_689,494
values_830,654
values_29,739
values_301,195
values_286,41
values_580,128
values_593,294
values_80,41
values_416,38
values_305,549
values_142,515
values_800,65
values_661,322
values_73,813
values_297,44
values_167,428
values_594,603
values_367,253
values_552,184
values_608,284
values_797,559
values_288,46
values_764,526
values_622,191
values_785,668
values_676,463
values_330,399
values_595,288
values_968,28
values_503,656
values_378,57
values_610,670
values_242,580
values_505,542
values_924,62
values_862,535
values_287,111
values_733,480
values_813,143
values_11,572
values_19,72
values_999,689
values_134,65
values_609,346
values_993,394
values_731,225
values_127,425
values_889,139
values_987,595
values_780,110
values_435,315
values_950,238
values_976,302
values_557,102
values_398,43
values_892,626
values_670,651
values_574,260
values_163,35
values_900,341
values_392,65
values_447,43
values_523,21
values_679,740
values_419,54
