;DEVICE;BOARD;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_SI
1;armulator;ARMV4T;banker_algorithm;int8_t;2.0;18.0;3
2;armulator;ARMV4T;bellmanford;int8_t;2.0;26.0;3
3;armulator;ARMV4T;bfs;int8_t;2.0;26.0;3
4;armulator;ARMV4T;binary_search;int8_t;2.0;26.0;3
5;armulator;ARMV4T;insertionsort;int8_t;2.0;26.0;3
6;armulator;ARMV4T;kruskal;int8_t;2.0;26.0;3
7;armulator;ARMV4T;matrix_mult;int8_t;2.0;18.0;3
8;armulator;ARMV4T;mergesort;int8_t;2.0;26.0;3
9;armulator;ARMV4T;qsort;int8_t;2.0;26.0;3
10;armulator;ARMV4T;quicksort;int8_t;2.0;26.0;3
11;armulator;ARMV4T;selectionsort;int8_t;2.0;26.0;3
12;simulavr;Atmega328p;banker_algorithm;int8_t;2.0;18.0;3
13;simulavr;Atmega328p;bellmanford;int8_t;2.0;26.0;3
14;simulavr;Atmega328p;bfs;int8_t;2.0;26.0;3
15;simulavr;Atmega328p;binary_search;int8_t;2.0;26.0;3
16;simulavr;Atmega328p;insertionsort;int8_t;2.0;26.0;3
17;simulavr;Atmega328p;kruskal;int8_t;2.0;26.0;3
18;simulavr;Atmega328p;matrix_mult;int8_t;2.0;18.0;3
19;simulavr;Atmega328p;mergesort;int8_t;2.0;26.0;3
20;simulavr;Atmega328p;qsort;int8_t;2.0;26.0;3
21;simulavr;Atmega328p;quicksort;int8_t;2.0;26.0;3
22;simulavr;Atmega328p;selectionsort;int8_t;2.0;26.0;3
23;thumbulator;ARMV6-M;bellmanford;int8_t;2.0;26.0;3
24;armulator;ARMV6-M;bfs;int8_t;2.0;26.0;3
25;thumbulator;ARMV6-M;binary_search;int8_t;2.0;26.0;3
26;thumbulator;ARMV6-M;insertionsort;int8_t;2.0;26.0;3
27;thumbulator;ARMV6-M;kruskal;int8_t;2.0;26.0;3
28;thumbulator;ARMV6-M;matrix_mult;int8_t;2.0;18.0;3
29;thumbulator;ARMV6-M;mergesort;int8_t;2.0;26.0;3
30;thumbulator;ARMV6-M;qsort;int8_t;2.0;26.0;3
31;thumbulator;ARMV6-M;quicksort;int8_t;2.0;26.0;3
32;thumbulator;ARMV6-M;selectionsort;int8_t;2.0;26.0;3
33;thumbulator;Leon3;banker_algorithm;int8_t;2.0;18.0;3
34;tsim;Leon3;bellmanford;int8_t;2.0;26.0;3
35;tsim;Leon3;bfs;int8_t;2.0;26.0;3
36;tsim;Leon3;binary_search;int8_t;2.0;26.0;3
37;tsim;Leon3;insertionsort;int8_t;2.0;26.0;3
38;tsim;Leon3;kruskal;int8_t;2.0;26.0;3
39;tsim;Leon3;matrix_mult;int8_t;2.0;18.0;3
40;tsim;Leon3;mergesort;int8_t;2.0;26.0;3
41;tsim;Leon3;qsort;int8_t;2.0;26.0;3
42;tsim;Leon3;quicksort;int8_t;2.0;26.0;3
43;tsim;Leon3;selectionsort;int8_t;2.0;26.0;3
